Organism,network,molnet_string,modeled_lability,activity,log2_change,N,P,C,NOSC
Porites lobata,87,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,-3.624830773232376,depletolite,-3.482724640276569,1,0,26.4,-0.5926944779358572
Porites lobata,167,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,-393.13467019617144,depletolite,-4.0343742106267175,0,0,15.5,-0.9401709401709399
Porites lobata,193,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty amides,-2.4552982948142335,depletolite,-3.3368633687608056,1,0,18,-1.5555555555555554
Porites lobata,212,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Glycerophosphoethanolamines,-4.999498734801585,depletolite,-12.13929310286072,8,0.5,22.5,-0.9672619047619047
Porites lobata,343,Organic compounds;Lipids and lipid-like molecules;Glycerophospholipids;Glycerophosphoethanolamines,-3.877105815253164,depletolite,-1.4473742878115021,1,1,25,-1.2800000000000002
Porites lobata,427,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-3.7019975265966556,depletolite,-6.68181397243716,1,0,21,-1.1428571428571432
Porites lobata,550,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-878.7531632170827,depletolite,-3.8132935907633723,0,0,26,-0.615384615384615
Porites lobata,772,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-4.789542621557913,depletolite,-4.113488744803622,2,0,15,-0.5333333333333332
Porites lobata,923,Organic compounds;Benzenoids;Benzene and substituted derivatives;nan,-123.25991068505736,depletolite,-1.2385451705638315,0.5,0,11,-0.7333333333333334
Porites lobata,980,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;Triterpenoids,-4.2239155524444065,depletolite,-3.6419131707219226,2,0.3333333333333333,25.5,-1.3583285849952518
Porites lobata,1018,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,-3.1259050226589933,depletolite,-1.176440461484968,3,1,19,-1.1578947368421053
Porites lobata,1063,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Eicosanoids,-4.499726078805903,depletolite,-4.289260704126211,7.333333333333333,0.6666666666666666,20.666666666666668,-0.7579365079365079
Porites lobata,1153,Organic compounds;Organoheterocyclic compounds;Benzene and substituted derivatives;nan,-3.025931100054531,depletolite,-4.634610059783736,1,0,14,-0.8571428571428568
Porites lobata,1291,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Carbohydrates and carbohydrate conjugates,-2.4316231185747927,depletolite,-8.80009992384657,1,0,18,-1.1671826625386998
Porites lobata,1306,Organic compounds;Organoheterocyclic compounds;Phenol ethers;nan,-4.033025605875165,depletolite,-5.899900876729038,5.5,1,12.5,-1.1622807017543861
Porites lobata,1370,Organic compounds;Organoheterocyclic compounds;Pyrans;Pyranones and derivatives,-3.9307427093369354,depletolite,-6.530559779585859,1,1,7,-1.8571428571428568
Porites lobata,2035,Organic compounds;Organoheterocyclic compounds;Phenols;nan,-4.356205672800718,depletolite,-4.2374178629116335,5.5,1,12,-1
Porites lobata,2261,Organic compounds;Organoheterocyclic compounds;Tetrahydroisoquinolines;nan,-3.154148434396869,depletolite,-3.5187242800993577,1,0,12,-0.33333333333333304
