feature_number,ecoNetConsensus,net_act,Day_CCA,Day_Dictyota,Day_Pocillopora verrucosa,Day_Porites lobata,Day_Turf,Night_CCA,Night_Dictyota,Night_Pocillopora verrucosa,Night_Porites lobata,Night_Turf,Daysum,Nightsum,DayNight_night,activity_night,DayNight_day,activity_day
10441,NA,-10441,NA,6.121515141026298,NA,NA,NA,NA,5.848283622798885,NA,NA,NA,6.121515141026298,5.848283622798885,Night,recalcitrant,Day,recalcitrant
10445,NA,-10445,NA,6.12698037645778,NA,NA,NA,NA,NA,5.398811698025961,NA,NA,6.12698037645778,5.398811698025961,Night,recalcitrant,Day,recalcitrant
10446,NA,-10446,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,Night,recalcitrant,NA,NA
10451,NA,-10451,NA,NA,0,NA,NA,NA,NA,6.406122047513319,NA,NA,0,6.406122047513319,Night,recalcitrant,Day,recalcitrant
10456,NA,-10456,NA,NA,7.137442183943142,NA,NA,NA,NA,7.4784828673617145,6.0674826124122525,NA,7.137442183943142,13.545965479773967,Night,recalcitrant,Day,recalcitrant
10457,NA,-10457,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,Night,recalcitrant,NA,NA
10459,NA,-10459,NA,NA,6.677260090179313,NA,NA,NA,NA,6.945479636292982,NA,NA,6.677260090179313,6.945479636292982,Night,recalcitrant,Day,depletolite
10461,Organic acids and derivatives;Carboxylic acids and derivatives;Tetracarboxylic acids and derivatives,148,NA,NA,7.087090976275002,6.465303590724071,NA,NA,NA,7.401374288117333,6.41196804900855,NA,13.552394566999073,13.813342337125883,Night,recalcitrant,Day,recalcitrant
10466,NA,-10466,NA,NA,NA,NA,NA,NA,NA,2.6938904657366374,NA,NA,0,2.6938904657366374,Night,recalcitrant,NA,NA
10468,NA,1977,5.757957897318833,3.28671852028182,3.506847972661738,NA,NA,NA,NA,NA,NA,NA,12.55152439026239,0,Night,recalcitrant,Day,recalcitrant
10473,NA,3551,NA,6.330362547264773,NA,NA,NA,NA,NA,NA,NA,NA,6.330362547264773,0,Night,recalcitrant,Day,recalcitrant
10475,Organic acids and derivatives,980,NA,NA,6.617016491444726,6.714167727250164,NA,NA,NA,6.4344620020668675,6.438219711164711,NA,13.33118421869489,12.872681713231579,Night,recalcitrant,Day,recalcitrant
